Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Domina, Maria; Lanza Cariccio, Veronica; Benfatto, Salvatore; D'Aliberti, Deborah; Venza, Mario; Borgogni, Erica; Castellino, Flora; Biondo, Carmelo; D'Andrea, Daniel; Grassi, Luigi; ",Rapid profiling of the antigen regions recognized by serum antibodies using massively parallel sequencing of antigen-specific libraries,PloS one,9,12,e114159,2014,"Public Library of Science San Francisco, USA"
"Venza, Isabella; Visalli, Maria; Beninati, Concetta; Benfatto, Salvatore; Teti, Diana; Venza, Mario; ","IL-10Rα expression is post-transcriptionally regulated by miR-15a, miR-185, and miR-211 in melanoma",BMC medical genomics,8,,1-9,2015,BioMed Central
"Domina, Maria; Lanza Cariccio, Veronica; Benfatto, Salvatore; Venza, Mario; Venza, Isabella; Donnarumma, Danilo; Bartolini, Erika; Borgogni, Erica; Bruttini, Marco; Santini, Laura; ",Epitope mapping of a monoclonal antibody directed against neisserial heparin binding antigen using next generation sequencing of antigen-specific libraries,PloS one,11,8,e0160702,2016,"Public Library of Science San Francisco, CA USA"
"Venza, Mario; Visalli, Maria; Beninati, Concetta; Benfatto, Salvatore; Teti, Diana; Venza, Isabella; ",miR-92a-3p and MYCBP2 are involved in MS-275-induced and c-myc-mediated TRAIL-sensitivity in melanoma cells,International immunopharmacology,40,,235-243,2016,Elsevier
"Cariccio, Veronica Lanza; Domina, Maria; Benfatto, Salvatore; Venza, Mario; Venza, Isabella; Faleri, Agnese; Bruttini, Marco; Bartolini, Erika; Giuliani, Marzia Monica; Santini, Laura; ",Phage display revisited: Epitope mapping of a monoclonal antibody directed against Neisseria meningitidis adhesin A using the PROFILER technology,MAbs,8,4,741-750,2016,Taylor & Francis
"Domina, Maria; Lanza Cariccio, Veronica; Benfatto, Salvatore; Venza, Mario; Venza, Isabella; Borgogni, Erica; Castellino, Flora; Midiri, Angelina; Galbo, Roberta; Romeo, Letizia; ",Functional characterization of a monoclonal antibody epitope using a lambda phage display-deep sequencing platform,Scientific reports,6,1,31458,2016,Nature Publishing Group UK London
"Pezzini, Francesco; Bianchi, Marzia; Benfatto, Salvatore; Griggio, Francesca; Doccini, Stefano; Carrozzo, Rosalba; Dapkunas, Arvydas; Delledonne, Massimo; Santorelli, Filippo M; Lalowski, Maciej M; ",The networks of genes encoding palmitoylated proteins in axonal and synaptic compartments are affected in PPT1 overexpressing neuronal-like cells,Frontiers in molecular neuroscience,10,,266,2017,Frontiers Media SA
"Cecchin, Michela; Benfatto, S; Griggio, F; Mori, A; Cazzaniga, S; Vitulo, N; Delledonne, M; Ballottari, M; ",Molecular basis of autotrophic vs mixotrophic growth in Chlorella sorokiniana,Scientific Reports,8,1,6465,2018,Nature Publishing Group UK London
"Lauritano, Chiara; De Luca, Daniele; Amoroso, Mariano; Benfatto, Salvatore; Maestri, Simone; Racioppi, Claudia; Esposito, Francesco; Ianora, Adrianna; ",New molecular insights on the response of the green alga Tetraselmis suecica to nitrogen starvation,Scientific Reports,9,1,3336,2019,Nature Publishing Group UK London
"Santangelo, Alessandra; Rossato, Marzia; Lombardi, Giuseppe; Benfatto, Salvatore; Lavezzari, Denise; De Salvo, Gian Luca; Indraccolo, Stefano; Dechecchi, Maria Cristina; Prandini, Paola; Gambari, Roberto; ",A molecular signature associated with prolonged survival in glioblastoma patients treated with regorafenib,Neuro-oncology,23,2,264-276,2021,Oxford University Press US
"Roidos, Paris; Sungalee, Stephanie; Benfatto, Salvatore; Serçin, Özdemirhan; Stütz, Adrian M; Abdollahi, Amir; Mauer, Jan; Zenke, Frank T; Korbel, Jan O; Mardin, Balca R; ",A scalable CRISPR/Cas9-based fluorescent reporter assay to study DNA double-strand break repair choice,Nature communications,11,1,4077,2020,Nature Publishing Group UK London
"Benfatto, Salvatore; Serçin, Özdemirhan; Dejure, Francesca R; Abdollahi, Amir; Zenke, Frank T; Mardin, Balca R; ",Uncovering cancer vulnerabilities by machine learning prediction of synthetic lethality,Molecular Cancer,20,1,111,2021,BioMed Central London
"Lauritano, C; De Luca, D; Amoroso, M; Benfatto, S; Maestri, S; Racioppi, C; Esposito, F; Ianora, A; ",New molecular insights on the response of the green alga Tetraselmis suecica to nitrogen starvation. Sci Rep 9: 1–12,,,,,2019,
"Daenekas, Bjarne; Pérez, Eilís; Boniolo, Fabio; Stefan, Sabina; Benfatto, Salvatore; Sill, Martin; Sturm, Dominik; Jones, David TW; Capper, David; Zapatka, Marc; ",Conumee 2.0: enhanced copy-number variation analysis from DNA methylation arrays for humans and mice,Bioinformatics,40,2,btae029,2024,Oxford University Press
"Hensel, Inga Viktoria; Éliás, Szabolcs; Steinhauer, Michelle; Stoll, Bilgenaz; Benfatto, Salvatore; Merkt, Wolfgang; Krienke, Stefan; Lorenz, Hanns-Martin; Haas, Jürgen; Wildemann, Brigitte; ",SLE serum induces altered goblet cell differentiation and leakiness in human intestinal organoids,EMBO Molecular Medicine,16,3,547-574,2024,Nature Publishing Group UK London
"Benfatto, Salvatore; Sill, Martin; Jones, David TW; Pfister, Stefan M; Sahm, Felix; von Deimling, Andreas; Capper, David; Hovestadt, Volker; ",Explainable artificial intelligence of DNA methylation-based brain tumor diagnostics,Nature Communications,16,1,1787,2025,Nature Publishing Group UK London
